MPN,path(en),Item INT ID,Item Name
1S2BZZZ000F,https://data.icecat.biz/export/level4/EN/26058603.xml,587341,QUA-4321-587341
9008950,https://data.icecat.biz/export/level4/EN/6382746.xml,584266,PSI-4320-584266
900-12230-2500-000,https://data.icecat.biz/export/level4/EN/32013933.xml,584222,NVI-2612-584222
90-MXGU10-A0UAYZ,https://data.icecat.biz/export/level4/EN/25354705.xml,584207,ASR-4320-584207
90-0290,https://data.icecat.biz/export/level4/EN/72439596.xml,584084,CON-2414-584084
56KUSBMODEM-01,https://data.icecat.biz/export/level4/EN/4804961.xml,578610,LAN-4322-578610
672631-B21-AM,https://data.icecat.biz/export/level4/EN/24988514.xml,579704,PRO-4320-579704
663AA002204,https://data.icecat.biz/export/level4/EN/38221266.xml,579692,SAL-3912-579692
6608,https://data.icecat.biz/export/level4/EN/5866743.xml,579669,CON-2612-579669
653968,https://data.icecat.biz/export/level4/EN/3245399.xml,579644,NEM-3116-579644
6534,https://data.icecat.biz/export/level4/EN/75780893.xml,579639,CON-2612-579639
6491,https://data.icecat.biz/export/level4/EN/89167807.xml,579602,CON-2612-579602
6.33809E+11,https://data.icecat.biz/export/level4/EN/21996319.xml,579509,WAS-2612-579509
720021,https://data.icecat.biz/export/level4/EN/22543293.xml,581670,MAN-2612-581670
714143,https://data.icecat.biz/export/level4/EN/15720816.xml,581342,MAN-4322-581342
714150,https://data.icecat.biz/export/level4/EN/78691384.xml,581343,MAN-2410-581343
713870,https://data.icecat.biz/export/level4/EN/24886275.xml,581332,MAN-2410-581332
713009,https://data.icecat.biz/export/level4/EN/77818913.xml,581250,MAN-2410-581250
