MPN,path(en),Item INT ID,Item Name
PFMSB51042,https://data.icecat.biz/export/level4/EN/65211897.xml,605287,SCH-2410-605287
9H.LH7LA.TBE,https://data.icecat.biz/export/level4/EN/66483244.xml,605268,BEN-4321-593614
PD-9024G/ACDC/M/F,https://data.icecat.biz/export/level4/EN/5126814.xml,605262,MIC-4322-605262
PCPE-WLANANT,https://data.icecat.biz/export/level4/EN/3923731.xml,605259,PAN-4321-605259
NR.R0HEE.002,https://data.icecat.biz/export/level4/EN/87020946.xml,605986,ACE-4321-605986
NPW45-12,https://data.icecat.biz/export/level4/EN/9467158.xml,605981,YUA-3912-605981
MA-CBL-TA-5M-AO,https://data.icecat.biz/export/level4/EN/25535475.xml,603891,ADD-2612-603891
M471A2K43CB1-CRC,https://data.icecat.biz/export/level4/EN/33038040.xml,603756,SAM-4320-603756
KVR13LS9S6/2,https://data.icecat.biz/export/level4/EN/22174634.xml,602882,KIN-4320-602882
KT-T550,https://data.icecat.biz/export/level4/EN/28351671.xml,602776,LG-4321-602776
KPM51VUG6T40,https://data.icecat.biz/export/level4/EN/78708552.xml,602764,KIO-4320-602764
K97457WW,https://data.icecat.biz/export/level4/EN/81644209.xml,602804,KEN-4319-602804
K9602860,https://data.icecat.biz/export/level4/EN/88946030.xml,602797,BAR-4321-602797
LPE35002-M2,https://data.icecat.biz/export/level4/EN/65173295.xml,603691,LSI-4320-603691
106R01332,https://data.icecat.biz/export/level4/EN/1421733.xml,608990,XER-4410-608990
SRX3400BASE-AC,https://data.icecat.biz/export/level4/EN/5478702.xml,608471,JUN-4320-608471
SHFR200/240G,https://data.icecat.biz/export/level4/EN/61044065.xml,608360,KIN-4320-608360
SDSSDEX2-960G-G25,https://data.icecat.biz/export/level4/EN/30071739.xml,608121,SAN-4320-608121
SDBQNTY-512G,https://data.icecat.biz/export/level4/EN/85774723.xml,607971,WES-4320-607971
SA-1037-BLK,https://data.icecat.biz/export/level4/EN/77964688.xml,607965,INC-4321-607965
S26391-F2233-L400,https://data.icecat.biz/export/level4/EN/49462480.xml,607956,FUJ-4320-607956
QLE8362-SR-CK,https://data.icecat.biz/export/level4/EN/18020058.xml,606971,QLO-4320-606971
Q3277PQU,https://data.icecat.biz/export/level4/EN/28383721.xml,606963,AOC-4321-606963
PA100-UK,https://data.icecat.biz/export/level4/EN/1349779.xml,606179,CIS-3912-606179
OP-HD4.0QH,https://data.icecat.biz/export/level4/EN/24443596.xml,606063,BUF-4320-606063
HGWGV,https://data.icecat.biz/export/level4/EN/78258726.xml,601224,DEL-4321-601224
F1DN2MOD-HC-P06,https://data.icecat.biz/export/level4/EN/87866813.xml,600381,BEL-2612-600381
F000117,https://data.icecat.biz/export/level4/EN/36997283.xml,600281,BQ-4410-600281
DXS-3610-54S/SI,https://data.icecat.biz/export/level4/EN/87934756.xml,600273,D-L-4322-600273
DVM32R2T4/32G,https://data.icecat.biz/export/level4/EN/74983690.xml,600268,DAT-4320-600268
DS2278-SR6U2100PRW,https://data.icecat.biz/export/level4/EN/37909742.xml,600155,ZEB-4321-600155
H601-BG,https://data.icecat.biz/export/level4/EN/75053246.xml,601134,HEC-3116-601134
GX90T33021,https://data.icecat.biz/export/level4/EN/71166032.xml,601020,LEN-4321-601020
GC43399,https://data.icecat.biz/export/level4/EN/37361029.xml,600938,INC-2611-600938
GA01316-UK,https://data.icecat.biz/export/level4/EN/85139589.xml,600922,GOO-4319-600922
GA-Q87TN,https://data.icecat.biz/export/level4/EN/20091548.xml,600919,GIG-4320-600919
LB-WIFI-001,https://data.icecat.biz/export/level4/EN/87626626.xml,603146,VIE-4320-603146
IPHX-SP,https://data.icecat.biz/export/level4/EN/40243666.xml,601498,UAG-4411-601498
D31275,https://data.icecat.biz/export/level4/EN/35224611.xml,598278,DIC-4411-598278
CT8G4DFS8266,https://data.icecat.biz/export/level4/EN/36931585.xml,598449,CRU-4320-598449
C33S020404,https://data.icecat.biz/export/level4/EN/1069325.xml,596879,EPS-4410-596879
C2G87453,https://data.icecat.biz/export/level4/EN/78536663.xml,596833,LEG-2612-596833
DM12-1006-3,https://data.icecat.biz/export/level4/EN/27147702.xml,599448,ERG-3116-599448
FB601GY-EU,https://data.icecat.biz/export/level4/EN/37998678.xml,599833,FIT-4319-599833
BS9B2224TB/00,https://data.icecat.biz/export/level4/EN/79024908.xml,595929,PHI-4321-595929
AL5900A4F-E6,https://data.icecat.biz/export/level4/EN/32429427.xml,594470,EXT-4410-594470
AH-AP-1130-AC-W,https://data.icecat.biz/export/level4/EN/26969880.xml,594421,EXT-4322-594421
ADCB-SMAMST-SMAMST-9,https://data.icecat.biz/export/level4/EN/65135131.xml,594336,KEO-4321-594336
AA0020064E6,https://data.icecat.biz/export/level4/EN/1576580.xml,594202,EXT-4321-594202
9H.LGMLB.QBE,https://data.icecat.biz/export/level4/EN/38066193.xml,593604,BEN-4321-593604
991-000345,https://data.icecat.biz/export/level4/EN/87626489.xml,593474,LOG-4321-593474
9596B028,https://data.icecat.biz/export/level4/EN/24398424.xml,593326,CAN-4321-593326
941-000130,https://data.icecat.biz/export/level4/EN/28512668.xml,593301,LOG-4321-593301
93614PX,https://data.icecat.biz/export/level4/EN/6054550.xml,593294,LEN-2410-593294
92828,https://data.icecat.biz/export/level4/EN/5316306.xml,593217,EPO-2612-593217
87120,https://data.icecat.biz/export/level4/EN/2291530.xml,593025,LEG-2612-593025
86887,https://data.icecat.biz/export/level4/EN/89417884.xml,592925,LEG-2612-592925
BR-G620-48-32G-F,https://data.icecat.biz/export/level4/EN/31433945.xml,595812,BRO-4322-595812
AV-1800,https://data.icecat.biz/export/level4/EN/36498391.xml,595428,VIS-3210-595428
AT4722000SBU,https://data.icecat.biz/export/level4/EN/24366831.xml,595420,EMC-4320-595420
49654,https://data.icecat.biz/export/level4/EN/33405348.xml,588766,MET-4411-588766
46861328,https://data.icecat.biz/export/level4/EN/70335167.xml,588728,OKI-4410-588728
