MPN,path(en),Item INT ID,Item Name
N9K-C9372TX=,https://data.icecat.biz/export/level4/EN/24886550.xml,604789,CIS-4322-604789
N9J74AE#301,https://data.icecat.biz/export/level4/EN/30636815.xml,604760,HP-4410-604760
N7P37A,https://data.icecat.biz/export/level4/EN/30402879.xml,604752,HP -4320-604752
MR8U2ZM/A,https://data.icecat.biz/export/level4/EN/69840508.xml,604446,APP-2611-604446
MR5200-100EUS,https://data.icecat.biz/export/level4/EN/85803752.xml,604440,NET-4322-604440
MQM8790-HS2F,https://data.icecat.biz/export/level4/EN/68101199.xml,604430,MEL-4322-604430
MOC0002A-EU,https://data.icecat.biz/export/level4/EN/37895015.xml,604409,2-P-2611-604409
MNY9F,https://data.icecat.biz/export/level4/EN/71269028.xml,604408,DEL-4321-604408
MN2400B8,https://data.icecat.biz/export/level4/EN/18660932.xml,604403,DUR-2611-604403
ML-2452-PTA2M2-036,https://data.icecat.biz/export/level4/EN/33666852.xml,604567,EXT-4322-604567
MHDV2G/A,https://data.icecat.biz/export/level4/EN/26508987.xml,604544,APP-2612-604544
MG278Q,https://data.icecat.biz/export/level4/EN/29530401.xml,604507,ASU-4321-604507
MG08SCA16TE,https://data.icecat.biz/export/level4/EN/73336231.xml,604502,KIO-4320-604502
MEMPEK1F064GA01,https://data.icecat.biz/export/level4/EN/72519304.xml,604338,INT-4320-604338
MEM-DR432L-HL03-ER26,https://data.icecat.biz/export/level4/EN/70053825.xml,604177,SUP-4320-604177
MD32GK2D4320016XR,https://data.icecat.biz/export/level4/EN/76466485.xml,604134,PNY-4320-604134
MD BRPCV04,https://data.icecat.biz/export/level4/EN/69700326.xml,604132,IIY-4321-604132
MCPP2YE,https://data.icecat.biz/export/level4/EN/27087919.xml,603884,BRO-4410-603884
MCRSTDEXW,https://data.icecat.biz/export/level4/EN/80017388.xml,603885,COM-4321-603885
MTA9ASF2G72PZ-3G2E1,https://data.icecat.biz/export/level4/EN/79450689.xml,604273,CRU-4320-604273
MS80B,https://data.icecat.biz/export/level4/EN/1123216.xml,604482,3M-4321-604482
MC220L,https://data.icecat.biz/export/level4/EN/79344049.xml,603973,TP--4320-603973
PZ42I-GR,https://data.icecat.biz/export/level4/EN/38251463.xml,606271,SCH-3912-606271
PX1082E-2NAC,https://data.icecat.biz/export/level4/EN/522622.xml,606268,DYN-2612-606268
S0717900,https://data.icecat.biz/export/level4/EN/1312287.xml,607773,DYM-4321-607773
RYH-00055,https://data.icecat.biz/export/level4/EN/76848027.xml,607771,MIC-4321-607771
RX1216SAS,https://data.icecat.biz/export/level4/EN/27294902.xml,607765,SYN-4320-607765
ROC-11-610-WE,https://data.icecat.biz/export/level4/EN/71480729.xml,607692,ROC-4321-607692
REB42808SPBJ,https://data.icecat.biz/export/level4/EN/32834244.xml,607584,SCH-2410-607584
R3J18A,https://data.icecat.biz/export/level4/EN/71541869.xml,607440,HP -3116-607440
PT-T,https://data.icecat.biz/export/level4/EN/31120600.xml,606669,TAR-3912-606669
PSU-DUAL-MODE-ABOARD,https://data.icecat.biz/export/level4/EN/12509190.xml,606668,PRO-3912-606668
PSS-650,https://data.icecat.biz/export/level4/EN/30281139.xml,606663,SON-3116-606663
PS7601BDVIHAF,https://data.icecat.biz/export/level4/EN/37425360.xml,606659,AMD-4320-606659
PNZW01,https://data.icecat.biz/export/level4/EN/50827593.xml,606592,SHA-4321-606592
PLASMA-M2SIDESHELF,https://data.icecat.biz/export/level4/EN/71302172.xml,606493,NEW-3116-606493
PL-8209-00,https://data.icecat.biz/export/level4/EN/53911892.xml,606420,POL-4410-606420
PGM-001,https://data.icecat.biz/export/level4/EN/67125443.xml,606395,IAD-3116-606395
